"","date","daily_consumption"
"494",2022-03-10,0.836
"495",2022-03-11,2.138
"496",2022-03-12,1.421
"497",2022-03-13,1.669
"498",2022-03-14,2.008
"499",2022-03-15,1.337
"500",2022-03-16,1.333
"501",2022-03-17,1.807
"502",2022-03-18,1.701
"503",2022-03-19,1.774
"504",2022-03-20,2.147
"505",2022-03-21,2.278
"506",2022-03-22,1.336
"507",2022-03-23,1.395
"508",2022-03-24,1.485
"509",2022-03-25,1.551
"510",2022-03-26,0.834
"511",2022-03-27,1.146
"512",2022-03-28,1.18
"513",2022-03-29,1.308
"514",2022-03-30,1.219
"515",2022-03-31,2.86
"516",2022-04-01,1.455
"517",2022-04-02,1.499
"518",2022-04-03,1.766
"519",2022-04-04,1.609
"520",2022-04-05,2.093
"521",2022-04-06,0.735
"522",2022-04-07,1.547
"523",2022-04-08,1.589
"524",2022-04-09,1.417
"525",2022-04-10,1.388
"526",2022-04-11,0.967
"527",2022-04-12,1.365
"528",2022-04-13,0.703
"529",2022-04-14,0.63
"530",2022-04-15,0.19
"531",2022-04-16,0.639
"532",2022-04-17,0.367
"533",2022-04-18,0.693
"534",2022-04-19,0.458
"535",2022-04-20,1.154
"536",2022-04-21,0.242
"537",2022-04-22,0.66
"538",2022-04-23,0.367
"539",2022-04-24,0.4
"540",2022-04-25,0.872
"541",2022-04-26,0.114
"542",2022-04-27,0.887
"543",2022-04-28,0.311
"544",2022-04-29,0.672
"545",2022-04-30,0.269
"546",2022-05-01,0.753
"547",2022-05-02,1.795
"548",2022-05-03,0.279
"549",2022-05-04,0.256
"550",2022-05-05,0.582
"551",2022-05-06,0.438
"552",2022-05-07,0.289
"553",2022-05-08,0.695
"554",2022-05-09,0.876
"555",2022-05-10,0.617
"556",2022-05-11,0.38
"557",2022-05-12,0.648
"558",2022-05-13,0.662
"559",2022-05-14,0.606
"560",2022-05-15,0.306
"561",2022-05-16,0
"562",2022-05-17,0
"563",2022-05-18,0
"564",2022-05-19,0
"565",2022-05-20,0.111
"566",2022-05-21,0.972
"567",2022-05-22,1.116
"568",2022-05-23,0.595
"569",2022-05-24,0.116
"570",2022-05-25,0.641
"571",2022-05-26,0.146
"572",2022-05-27,0.467
"573",2022-05-28,0.164
"574",2022-05-29,0.23
"575",2022-05-30,0.52
"576",2022-05-31,0.469
"577",2022-06-01,0.575
"578",2022-06-02,0.157
"579",2022-06-03,1.293
"580",2022-06-04,0.136
"581",2022-06-05,0.538
"582",2022-06-06,0.449
"583",2022-06-07,0.596
"584",2022-06-08,1.291
"585",2022-06-09,0.169
"586",2022-06-10,0.658
"587",2022-06-11,0.061
"588",2022-06-12,0.166
"589",2022-06-13,0.577
"590",2022-06-14,1.542
"591",2022-06-15,0.222
"592",2022-06-16,1.732
"593",2022-06-17,0.474
"594",2022-06-18,0.712
"595",2022-06-19,0.181
"596",2022-06-20,0.757
"597",2022-06-21,0.274
"598",2022-06-22,2.109
"599",2022-06-23,0.517
"600",2022-06-24,0.064
"601",2022-06-25,0
"602",2022-06-26,0
"603",2022-06-27,0
"604",2022-06-28,0.217
"605",2022-06-29,0.354
"606",2022-06-30,0.588
"607",2022-07-01,0.607
"608",2022-07-02,0.39
"609",2022-07-03,0.992
"610",2022-07-04,0.506
"611",2022-07-05,0.076
"612",2022-07-06,0.268
"613",2022-07-07,0.221
"614",2022-07-08,0.485
"615",2022-07-09,0
"616",2022-07-10,0.323
"617",2022-07-11,0.631
"618",2022-07-12,0.772
"619",2022-07-13,0.138
"620",2022-07-14,0.155
"621",2022-07-15,0.41
"622",2022-07-16,0
"623",2022-07-17,0.081
"624",2022-07-18,0
"625",2022-07-19,0
"626",2022-07-20,0
"627",2022-07-21,0
"628",2022-07-22,0
"629",2022-07-23,0.148
"630",2022-07-24,0
"631",2022-07-25,0
"632",2022-07-26,0
"633",2022-07-27,0
"634",2022-07-28,0
"635",2022-07-29,0.212
"636",2022-07-30,0.061
"637",2022-07-31,0.119
"638",2022-08-01,0.317
"639",2022-08-02,0.293
"640",2022-08-03,0.478
"641",2022-08-04,0.389
"642",2022-08-05,0.471
"643",2022-08-06,0.15
"644",2022-08-07,0.472
"645",2022-08-08,0.171
"646",2022-08-09,0.517
"647",2022-08-10,0.405
"648",2022-08-11,0.193
"649",2022-08-12,0.382
"650",2022-08-13,0.302
"651",2022-08-14,0.217
"652",2022-08-15,0.325
"653",2022-08-16,0.33
"654",2022-08-17,0.398
"655",2022-08-18,0.477
"656",2022-08-19,0.913
"657",2022-08-20,0.347
"658",2022-08-21,0.289
"659",2022-08-22,0.717
"660",2022-08-23,0.891
"661",2022-08-24,0.278
"662",2022-08-25,0.321
"663",2022-08-26,0.378
"664",2022-08-27,0.558
"665",2022-08-28,0.915
"666",2022-08-29,0.248
"667",2022-08-30,0.667
"668",2022-08-31,0.529
"669",2022-09-01,0.865
"670",2022-09-02,0.412
"671",2022-09-03,0.644
"672",2022-09-04,0.059
"673",2022-09-05,0.546
"674",2022-09-06,0.342
"675",2022-09-07,0.276
"676",2022-09-08,0.252
"677",2022-09-09,0.356
"678",2022-09-10,0.803
"679",2022-09-11,0.635
"680",2022-09-12,0.567
"681",2022-09-13,0.274
"682",2022-09-14,0.758
"683",2022-09-15,0.37
"684",2022-09-16,0
"685",2022-09-17,0
"686",2022-09-18,0
"687",2022-09-19,0.443
"688",2022-09-20,0.122
"689",2022-09-21,0.421
"690",2022-09-22,0.02
"691",2022-09-23,0.098
"692",2022-09-24,0.263
"693",2022-09-25,0.591
"694",2022-09-26,0.445
"695",2022-09-27,0.427
"696",2022-09-28,0.245
"697",2022-09-29,0.619
"698",2022-09-30,0.132
"699",2022-10-01,0.31
"700",2022-10-02,0.682
"701",2022-10-03,0.304
"702",2022-10-04,0.205
"703",2022-10-05,0.979
"704",2022-10-06,0.305
"705",2022-10-07,0.113
"706",2022-10-08,0.233
"707",2022-10-09,0.207
"708",2022-10-10,0.332
"709",2022-10-11,0.532
"710",2022-10-12,0.094
"711",2022-10-13,0.53
"712",2022-10-14,1.161
"713",2022-10-15,0.152
"714",2022-10-16,0.095
"715",2022-10-17,0.875
"716",2022-10-18,0.234
"717",2022-10-19,0.323
"718",2022-10-20,0.587
"719",2022-10-21,0.412
"720",2022-10-22,0.223
"721",2022-10-23,0.401
"722",2022-10-24,1.284
"723",2022-10-25,0.233
"724",2022-10-26,0.108
"725",2022-10-27,0.999
"726",2022-10-28,0.66
"727",2022-10-29,0.299
"728",2022-10-30,0.464
"729",2022-10-31,0.139
"730",2022-11-01,1.085
"731",2022-11-02,0.043
"732",2022-11-03,0.209
"733",2022-11-04,0.789
"734",2022-11-05,1.179
"735",2022-11-06,0.3
"736",2022-11-07,0.22
"737",2022-11-08,0.98
"738",2022-11-09,0.334
"739",2022-11-10,0.292
"740",2022-11-11,0.375
"741",2022-11-12,0.274
"742",2022-11-13,1.392
"743",2022-11-14,0.121
"744",2022-11-15,0.647
"745",2022-11-16,0.398
"746",2022-11-17,0.499
"747",2022-11-18,1.278
"748",2022-11-19,0.196
"749",2022-11-20,0.676
"750",2022-11-21,0.306
"751",2022-11-22,0.499
"752",2022-11-23,0.158
"753",2022-11-24,0.564
"754",2022-11-25,0.087
"755",2022-11-26,0
"756",2022-11-27,0
"757",2022-11-28,0.141
"758",2022-11-29,1.558
"759",2022-11-30,0.689
"760",2022-12-01,1.649
"761",2022-12-02,1.463
"762",2022-12-03,2.004
"763",2022-12-04,1.537
"764",2022-12-05,1.709
"765",2022-12-06,1.124
"766",2022-12-07,1.98
"767",2022-12-08,1.496
"768",2022-12-09,2.76
"769",2022-12-10,2.612
"770",2022-12-11,2.676
"771",2022-12-12,2.486
"772",2022-12-13,2.061
"773",2022-12-14,2.199
"774",2022-12-15,3.086
"775",2022-12-16,1.997
"776",2022-12-17,2.297
"777",2022-12-18,2.678
"778",2022-12-19,1.156
"779",2022-12-20,1.098
"780",2022-12-21,1.129
"781",2022-12-22,0.902
"782",2022-12-23,1.557
"783",2022-12-24,2.083
"784",2022-12-25,0.704
"785",2022-12-26,1.699
"786",2022-12-27,2.097
"787",2022-12-28,2.533
"788",2022-12-29,1.999
"789",2022-12-30,1.492
"790",2022-12-31,1.12
"791",2023-01-01,0.88
"792",2023-01-02,1.309
"793",2023-01-03,1.121
"794",2023-01-04,1.844
"795",2023-01-05,0.8
"796",2023-01-06,0.721
"797",2023-01-07,1.294
"798",2023-01-08,1.691
"799",2023-01-09,1.12
"800",2023-01-10,1.525
"801",2023-01-11,3
"802",2023-01-12,0.747
"803",2023-01-13,1.787
"804",2023-01-14,1.414
"805",2023-01-15,1.013
"806",2023-01-16,2.12
"807",2023-01-17,1.648
"808",2023-01-18,3.75
"809",2023-01-19,2.279
"810",2023-01-20,3.281
"811",2023-01-21,2.331
"812",2023-01-22,2.632
"813",2023-01-23,2.615
"814",2023-01-24,2.063
"815",2023-01-25,2.641
"816",2023-01-26,1.805
"817",2023-01-27,1.498
"818",2023-01-28,0.691
"819",2023-01-29,1.606
"820",2023-01-30,1.097
"821",2023-01-31,1.774
"822",2023-02-01,0.892
"823",2023-02-02,0.942
"824",2023-02-03,2.262
"825",2023-02-04,1.162
"826",2023-02-05,1.531
"827",2023-02-06,1.582
"828",2023-02-07,0.908
"829",2023-02-08,0.872
"830",2023-02-09,1.581
"831",2023-02-10,1.747
"832",2023-02-11,1.73
"833",2023-02-12,1.126
"834",2023-02-13,1.031
"835",2023-02-14,1.786
"836",2023-02-15,0.807
"837",2023-02-16,1.441
"838",2023-02-17,1.131
"839",2023-02-18,1.113
"840",2023-02-19,0.896
"841",2023-02-20,1.124
"842",2023-02-21,0.771
"843",2023-02-22,0.826
"844",2023-02-23,0.925
"845",2023-02-24,1.08
"846",2023-02-25,1.446
"847",2023-02-26,1.857
"848",2023-02-27,1.159
"849",2023-02-28,1.408
"850",2023-03-01,1.182
"851",2023-03-02,1.587
"852",2023-03-03,1.036
"853",2023-03-04,1.583
"854",2023-03-05,1.044
"855",2023-03-06,1.808
"856",2023-03-07,1.549
"857",2023-03-08,1.462
"858",2023-03-09,1.675
"859",2023-03-10,1.608
"860",2023-03-11,2.022
"861",2023-03-12,1.156
"862",2023-03-14,0.975
"863",2023-03-15,1.811
"864",2023-03-16,1.2
"865",2023-03-17,1.242
"866",2023-03-18,1.035
"867",2023-03-19,1.479
"868",2023-03-20,1.109
"869",2023-03-21,1.119
"870",2023-03-22,1.41
"871",2023-03-23,1.076
"872",2023-03-24,1.145
"873",2023-03-25,1.895
"874",2023-03-26,0.773
"875",2023-03-27,1.142
"876",2023-03-28,0.966
"877",2023-03-29,1.043
"878",2023-03-30,1.08
"879",2023-03-31,1.051
"880",2023-04-01,1.952
"881",2023-04-02,1.553
"882",2023-04-03,1.334
"883",2023-04-04,0.86
"884",2023-04-05,1.429
"885",2023-04-06,0.976
"886",2023-04-07,1.227
"887",2023-04-08,0.052
"888",2023-04-09,0
"889",2023-04-10,0.094
"890",2023-04-11,1.374
"891",2023-04-12,0.735
"892",2023-04-13,0.521
"893",2023-04-14,0.209
"894",2023-04-15,0.596
"895",2023-04-16,0.678
"896",2023-04-17,0.696
"897",2023-04-18,0.361
"898",2023-04-19,0.099
"899",2023-04-20,0.926
"900",2023-04-21,0.478
"901",2023-04-22,0.445
"902",2023-04-23,0.633
"903",2023-04-24,0.874
"904",2023-04-25,0.431
"905",2023-04-26,0.089
"906",2023-04-27,0.296
"907",2023-04-28,0.614
"908",2023-04-29,1.398
"909",2023-04-30,0.166
"910",2023-05-01,0.567
"911",2023-05-02,0.7
"912",2023-05-03,0.092
"913",2023-05-04,0.197
"914",2023-05-05,0.423
"915",2023-05-06,0.642
"916",2023-05-07,0.633
"917",2023-05-08,0.792
"918",2023-05-09,0.97
"919",2023-05-10,0.664
"920",2023-05-11,0.33
"921",2023-05-12,1.398
"922",2023-05-13,0.676
"923",2023-05-14,0.562
"924",2023-05-15,0.495
"925",2023-05-16,0.274
"926",2023-05-17,0.753
"927",2023-05-18,0.138
"928",2023-05-19,0.183
"929",2023-05-20,1.431
"930",2023-05-21,0.237
"931",2023-05-22,0.363
"932",2023-05-23,1.089
"933",2023-05-24,0.151
"934",2023-05-25,0.353
"935",2023-05-26,0.244
"936",2023-05-27,0.696
"937",2023-05-28,0.517
"938",2023-05-29,0.642
"939",2023-05-30,0.747
"940",2023-05-31,0.705
"941",2023-06-01,0.141
"942",2023-06-02,0.15
"943",2023-06-03,0.67
"944",2023-06-04,0.185
"945",2023-06-05,0.705
"946",2023-06-06,0.706
"947",2023-06-07,0.236
"948",2023-06-08,0.201
"949",2023-06-09,0.667
"950",2023-06-10,0
"951",2023-06-11,0
"952",2023-06-12,0.169
"953",2023-06-13,0.98
"954",2023-06-14,0.271
"955",2023-06-15,0.467
"956",2023-06-16,0.177
"957",2023-06-17,0.177
"958",2023-06-18,0.712
"959",2023-06-19,0.587
"960",2023-06-20,0.367
"961",2023-06-21,0.333
"962",2023-06-22,0.68
"963",2023-06-23,0.27
"964",2023-06-24,0.085
"965",2023-06-25,0.278
"966",2023-06-26,0.189
"967",2023-06-27,0.159
"968",2023-06-28,0.091
"969",2023-06-29,0.079
"970",2023-06-30,0.044
"971",2023-07-01,0.291
"972",2023-07-02,0.03
"973",2023-07-03,0.238
"974",2023-07-04,0.106
"975",2023-07-05,0
"976",2023-07-06,0
"977",2023-07-07,0.167
"978",2023-07-08,0.232
"979",2023-07-09,0.148
"980",2023-07-10,0.065
"981",2023-07-11,0.466
"982",2023-07-12,0.361
"983",2023-07-13,0.369
"984",2023-07-14,0.559
"985",2023-07-15,0.554
"986",2023-07-16,0.808
"987",2023-07-17,1.544
"988",2023-07-18,0.563
"989",2023-07-19,0.655
"990",2023-07-20,0.474
"991",2023-07-21,0
"992",2023-07-22,0
"993",2023-07-23,0.066
"994",2023-07-24,0.923
"995",2023-07-25,0.749
"996",2023-07-26,0.499
"997",2023-07-27,0.134
"998",2023-07-28,0.293
"999",2023-07-29,0
"1000",2023-07-30,0.156
"1001",2023-07-31,0.717
"1002",2023-08-01,0.385
"1003",2023-08-02,0.411
"1004",2023-08-03,1.196
